movie,original_reviews,sampled_reviews,sampling_ratio
The Adventures of Tintin 2011,496,50,0.10080645161290322
Black Hawk Down 2001,1151,80,0.06950477845351868
Grave of the Fireflies 1988,686,65,0.09475218658892129
Men in Black 3 2012,388,50,0.12886597938144329
The New World 2005,721,65,0.09015256588072122
Cars 2 2011,336,50,0.1488095238095238
Taxi Driver 1976,1122,80,0.07130124777183601
Hardball 2001,134,35,0.26119402985074625
The Silence of the Lambs 1991,1230,80,0.06504065040650407
The Mountain II 2016,142,35,0.24647887323943662
Gandhi 1982,293,50,0.17064846416382254
Troy 2004,1789,80,0.044717719396310786
Bill & Ted's Excellent Adventure 1989,227,50,0.22026431718061673
Bhaag Milkha Bhaag 2013,191,35,0.18324607329842932
Warm Bodies 2013,378,50,0.13227513227513227
Saw II 2005,884,65,0.07352941176470588
A Quiet Place 2018,2843,80,0.028139289482940557
Wedding Crashers 2005,666,65,0.09759759759759759
Lucy 2014,1137,80,0.07036059806508356
Godzilla 2014,1634,80,0.04895960832313342
Corpse Bride 2005,521,65,0.12476007677543186
The Conjuring 2013,1041,80,0.07684918347742556
We Were Soldiers 2002,768,65,0.08463541666666667
Concussion 2015,193,35,0.18134715025906736
Warcraft 2016,983,65,0.06612410986775177
Star Wars: Episode II - Attack of the Clones 2002,3639,80,0.021984061555372355
Walk Hard: The Dewey Cox Story 2007,226,50,0.22123893805309736
Lincoln 2012,794,65,0.0818639798488665
Baby Driver 2017,1096,80,0.072992700729927
Marriage Story 2019,1178,80,0.06791171477079797
Me Before You 2016,456,50,0.10964912280701754
The Chorus 2004,123,35,0.2845528455284553
"Run, Fat Boy, Run 2007",151,35,0.23178807947019867
A Nightmare on Elm Street 1984,774,65,0.08397932816537468
Last Flag Flying 2017,128,35,0.2734375
Lucky Number Slevin 2006,548,65,0.11861313868613138
Mr. Nobody 2009,383,50,0.13054830287206268
The Disaster Artist 2017,395,50,0.12658227848101267
Batman v Superman: Dawn of Justice 2016,3696,80,0.021645021645021644
Snow White and the Seven Dwarfs 1937,247,50,0.20242914979757085
Harry Potter and the Prisoner of Azkaban 2004,1583,80,0.05053695514845231
Inside Out 2015,1012,80,0.07905138339920949
Tae Guk Gi: The Brotherhood of War 2004,240,50,0.20833333333333334
Pretty Woman 1990,333,50,0.15015015015015015
All Quiet on the Western Front 1930,236,50,0.211864406779661
The Birth of a Nation 1915,363,50,0.13774104683195593
It's a Wonderful Life 1946,924,65,0.07034632034632035
Once Upon a Time in America 1984,655,65,0.09923664122137404
Meet the Parents 2000,508,65,0.1279527559055118
Catch Me If You Can 2002,802,65,0.08104738154613467
Training Day 2001,710,65,0.09154929577464789
10 Cloverfield Lane 2016,752,65,0.08643617021276596
WALL·E 2008,1243,80,0.06436041834271923
The Great Raid 2005,194,35,0.18041237113402062
Tarzan 1999,293,50,0.17064846416382254
Gran Torino 2008,990,65,0.06565656565656566
Gremlins 1984,314,50,0.1592356687898089
How to Train Your Dragon 2 2014,398,50,0.12562814070351758
One Hundred and One Dalmatians 1961,136,35,0.25735294117647056
Jerry Maguire 1996,363,50,0.13774104683195593
The Butterfly Effect 2004,1180,80,0.06779661016949153
Inside Man 2006,718,65,0.0905292479108635
The Bourne Supremacy 2004,847,65,0.07674144037780402
Saving Mr. Banks 2013,354,50,0.14124293785310735
Gangs of New York 2002,1209,80,0.06617038875103391
Toy Story 2 1999,588,65,0.11054421768707483
The Devil's Advocate 1997,468,50,0.10683760683760683
Rang De Basanti 2006,358,50,0.13966480446927373
The Commitments 1991,117,35,0.29914529914529914
Elysium 2013,915,65,0.07103825136612021
The Legend of 1900 1998,272,50,0.18382352941176472
Legends of the Fall 1994,399,50,0.12531328320802004
Tropic Thunder 2008,629,65,0.10333863275039745
The Blair Witch Project 1999,3472,80,0.02304147465437788
Bring It On 2000,377,50,0.13262599469496023
The Piano 1993,263,50,0.19011406844106463
Ali 2001,388,50,0.12886597938144329
The Fighter 2010,442,50,0.11312217194570136
Suicide Squad 2016,2253,80,0.03550821127385708
The Mummy Returns 2001,920,65,0.07065217391304347
Room 2015,649,65,0.10015408320493066
Fight Club 1999,3641,80,0.021971985718209283
Paranormal Activity 2007,1262,80,0.06339144215530904
Live Free or Die Hard 2007,824,65,0.07888349514563107
Chinatown 1974,519,65,0.1252408477842004
The Last Legion 2007,180,35,0.19444444444444445
Good Will Hunting 1997,862,65,0.07540603248259861
True Romance 1993,533,65,0.12195121951219512
Departures 2008,149,35,0.2348993288590604
X-Men: Apocalypse 2016,830,65,0.0783132530120482
Burn After Reading 2008,622,65,0.1045016077170418
P.S. I Love You 2007,276,50,0.18115942028985507
Molly's Game 2017,355,50,0.14084507042253522
Skyfall 2012,1586,80,0.05044136191677175
Life 2017,1042,80,0.07677543186180422
Stalag 17 1953,159,35,0.22012578616352202
Prince of Persia: The Sands of Time 2010,478,50,0.10460251046025104
Judgment at Nuremberg 1961,207,50,0.24154589371980675
X-Men: The Last Stand 2006,1955,80,0.04092071611253197
In the Land of Blood and Honey 2011,153,35,0.22875816993464052
Moulin Rouge! 2001,2347,80,0.034086067319982954
Blades of Glory 2007,269,50,0.18587360594795538
The Patriot 2000,1169,80,0.06843455945252352
All the President's Men 1976,240,50,0.20833333333333334
The Terminal 2004,701,65,0.09272467902995721
Honey 2003,144,35,0.24305555555555555
Hancock 2008,653,65,0.0995405819295559
The Shape of Water 2017,1588,80,0.05037783375314862
Velvet Goldmine 1998,323,50,0.15479876160990713
The Other Boleyn Girl 2008,272,50,0.18382352941176472
Stardust 2007,555,65,0.11711711711711711
No Country for Old Men 2007,1785,80,0.04481792717086835
Orphan 2009,489,50,0.10224948875255624
Hitch 2005,410,50,0.12195121951219512
Barry Lyndon 1975,444,50,0.11261261261261261
Dead Poets Society 1989,624,65,0.10416666666666667
Source Code 2011,635,65,0.10236220472440945
"Crouching Tiger, Hidden Dragon 2000",1649,80,0.04851425106124924
The Man Who Would Be King 1975,186,35,0.1881720430107527
The Jungle Book 1967,168,35,0.20833333333333334
Arrival 2016,1834,80,0.04362050163576881
Frost_Nixon 2008,262,50,0.19083969465648856
Hoosiers 1986,147,35,0.23809523809523808
The Caine Mutiny 1954,179,35,0.19553072625698323
Alien vs. Predator 2004,1344,80,0.05952380952380952
Sing Street 2016,194,35,0.18041237113402062
The Hangover 2009,717,65,0.09065550906555091
The Hobbit: The Battle of the Five Armies 2014,883,65,0.07361268403171008
The Ring 2002,1660,80,0.04819277108433735
Now You See Me 2013,760,65,0.08552631578947369
Rab Ne Bana Di Jodi 2008,147,35,0.23809523809523808
Dunkirk 2017,2331,80,0.03432003432003432
Mystic River 2003,1035,80,0.07729468599033816
Ghost Rider 2007,724,65,0.08977900552486189
The Duchess 2008,157,35,0.2229299363057325
Doctor Zhivago 1965,294,50,0.17006802721088435
Paths of Glory 1957,417,50,0.11990407673860912
The Fault in Our Stars 2014,679,65,0.09572901325478646
Coriolanus 2011,131,35,0.26717557251908397
Hacksaw Ridge 2016,871,65,0.07462686567164178
U-571 2000,618,65,0.10517799352750809
Balls of Fury 2007,154,35,0.22727272727272727
Madagascar: Escape 2 Africa 2008,144,35,0.24305555555555555
Joy 2015,328,50,0.1524390243902439
Flashdance 1983,152,35,0.23026315789473684
American Psycho 2000,1247,80,0.06415396952686447
Deepwater Horizon 2016,280,50,0.17857142857142858
A Clockwork Orange 1971,1529,80,0.052321778940483975
Resident Evil: Afterlife 2010,430,50,0.11627906976744186
Butch Cassidy and the Sundance Kid 1969,419,50,0.11933174224343675
The Football Factory 2004,117,35,0.29914529914529914
Harry Potter and the Goblet of Fire 2005,1960,80,0.04081632653061224
Mad Max: Fury Road 2015,1968,80,0.04065040650406504
The Nightmare Before Christmas 1993,509,65,0.12770137524557956
How to Lose a Guy in 10 Days 2003,381,50,0.13123359580052493
Lone Survivor 2013,491,50,0.10183299389002037
The Cannonball Run 1981,130,35,0.2692307692307692
Rock Star 2001,196,35,0.17857142857142858
Mission: Impossible - Rogue Nation 2015,537,65,0.12104283054003724
Spirited Away 2001,1225,80,0.0653061224489796
We're the Millers 2013,381,50,0.13123359580052493
Citizen Kane 1941,1399,80,0.057183702644746245
Man on Fire 2004,762,65,0.08530183727034121
Love Actually 2003,1135,80,0.07048458149779736
The Matrix 1999,4172,80,0.019175455417066157
MASH 1970,249,50,0.20080321285140562
The Fast and the Furious 2001,1052,80,0.07604562737642585
Changeling 2008,431,50,0.11600928074245939
Sherlock Holmes 2009,693,65,0.09379509379509379
Mr. Holland's Opus 1995,173,35,0.2023121387283237
Bolt 2008,214,50,0.2336448598130841
The Simpsons Movie 2007,849,65,0.07656065959952886
Sultan 2016,156,35,0.22435897435897437
Ready Player One 2018,1988,80,0.04024144869215292
Man of Steel 2013,2747,80,0.029122679286494358
School of Rock 2003,517,65,0.12572533849129594
Incredibles 2 2018,1067,80,0.07497656982193064
The Hobbit: The Desolation of Smaug 2013,985,65,0.06598984771573604
We Are Marshall 2006,185,35,0.1891891891891892
Pirate Radio 2009,241,50,0.2074688796680498
Captain America: Civil War 2016,1395,80,0.05734767025089606
Trainspotting 1996,617,65,0.1053484602917342
Aliens 1986,1241,80,0.064464141821112
Annie Hall 1977,530,65,0.12264150943396226
The Maze Runner 2014,612,65,0.10620915032679738
Closer 2004,952,65,0.06827731092436974
The Truman Show 1998,1110,80,0.07207207207207207
Resident Evil 2002,1168,80,0.0684931506849315
Monty Python and the Holy Grail 1975,754,65,0.08620689655172414
Scream 1996,956,65,0.06799163179916318
Howl's Moving Castle 2004,423,50,0.1182033096926714
Aladdin 2019,2281,80,0.035072336694432264
Harry Potter and the Deathly Hallows: Part 1 2010,678,65,0.09587020648967552
Moana 2016,520,65,0.125
The Revenant 2015,1572,80,0.05089058524173028
Apocalypse Now 1979,1155,80,0.06926406926406926
Home Alone 1990,417,50,0.11990407673860912
Happy Feet 2006,585,65,0.1111111111111111
The Hangover Part III 2013,318,50,0.15723270440251572
Ip Man 2008,203,50,0.24630541871921183
The Purge 2013,736,65,0.08831521739130435
Capote 2005,448,50,0.11160714285714286
Spider-Man: Homecoming 2017,1356,80,0.058997050147492625
Coach Carter 2005,234,50,0.21367521367521367
Rudy 1993,181,35,0.19337016574585636
Rango 2011,400,50,0.125
"Crazy, Stupid, Love 2011",370,50,0.13513513513513514
Valkyrie 2008,468,50,0.10683760683760683
Toy Story 1995,582,65,0.11168384879725086
Donnie Brasco 1997,283,50,0.17667844522968199
Moneyball 2011,400,50,0.125
World Trade Center 2006,580,65,0.11206896551724138
Atonement 2007,650,65,0.1
Bull Durham 1988,134,35,0.26119402985074625
The Hunger Games: Mockingjay - Part 1 2014,611,65,0.10638297872340426
Goodfellas 1990,1239,80,0.0645682001614205
The King's Speech 2010,745,65,0.087248322147651
The Social Network 2010,869,65,0.07479861910241657
Toy Story 4 2019,1253,80,0.06384676775738228
Castle in the Sky 1986,230,50,0.21739130434782608
The Blind Side 2009,500,50,0.1
Twilight 2008,1654,80,0.04836759371221282
Scream 2 1997,516,65,0.12596899224806202
Mary and Max 2009,222,50,0.22522522522522523
La Vie En Rose 2007,247,50,0.20242914979757085
Scott Pilgrim vs. the World 2010,663,65,0.09803921568627451
La Grande Illusion 1937,135,35,0.25925925925925924
The Grapes of Wrath 1940,335,50,0.14925373134328357
Ice Age: Dawn of the Dinosaurs 2009,148,35,0.23648648648648649
The Village 2004,2060,80,0.038834951456310676
Begin Again 2013,263,50,0.19011406844106463
District 9 2009,1368,80,0.05847953216374269
Black Swan 2010,1269,80,0.06304176516942474
Fantastic Beasts and Where to Find Them 2016,819,65,0.07936507936507936
City of God 2002,989,65,0.06572295247724974
The Fifth Element 1997,848,65,0.07665094339622641
Seabiscuit 2003,467,50,0.10706638115631692
Jurassic Park 1993,1087,80,0.07359705611775529
Contact 1997,695,65,0.09352517985611511
Casino Royale 2006,2401,80,0.03331945022907122
Draft Day 2014,157,35,0.2229299363057325
Split 2016,986,65,0.06592292089249494
Hedwig and the Angry Inch 2001,236,50,0.211864406779661
The Last Song 2010,207,50,0.24154589371980675
"O Brother, Where Art Thou? 2000",899,65,0.07230255839822025
For Love of the Game 1999,239,50,0.20920502092050208
Pitch Black 2000,816,65,0.07965686274509803
Liar Liar 1997,283,50,0.17667844522968199
Rise of the Planet of the Apes 2011,706,65,0.09206798866855524
Spartacus 1960,317,50,0.15772870662460567
Saw III 2006,646,65,0.10061919504643962
"Good Night, and Good Luck. 2005",542,65,0.11992619926199262
Star Wars: Episode IV - A New Hope 1977,1783,80,0.044868199663488505
A Bridge Too Far 1977,246,50,0.2032520325203252
The Lost World: Jurassic Park 1997,643,65,0.10108864696734059
Terminator 2: Judgment Day 1991,1239,80,0.0645682001614205
L.A. Confidential 1997,693,65,0.09379509379509379
The Shawshank Redemption 1994,7799,80,0.01025772534940377
Saboteur 1942,157,35,0.2229299363057325
The Witch 2015,983,65,0.06612410986775177
Up 2009,870,65,0.07471264367816093
The Hills Have Eyes 2006,889,65,0.07311586051743532
Captain America: The Winter Soldier 2014,937,65,0.06937033084311633
Identity 2003,771,65,0.08430609597924774
The Graduate 1967,742,65,0.0876010781671159
Cloudy with a Chance of Meatballs 2009,183,35,0.1912568306010929
Children of Men 2006,1250,80,0.064
The Nice Guys 2016,450,50,0.1111111111111111
The Amazing Spider-Man 2012,1341,80,0.05965697240865026
Darkest Hour 2017,629,65,0.10333863275039745
Non-Stop 2014,449,50,0.111358574610245
Hansel & Gretel: Witch Hunters 2013,345,50,0.14492753623188406
54 1998,193,35,0.18134715025906736
Hot Rod 2007,194,35,0.18041237113402062
12 Years a Slave 2013,849,65,0.07656065959952886
Just Go with It 2011,271,50,0.18450184501845018
Flight 2012,573,65,0.11343804537521815
Shark Tale 2004,316,50,0.15822784810126583
Spectre 2015,1152,80,0.06944444444444445
The Grand Budapest Hotel 2014,847,65,0.07674144037780402
Fargo 1996,931,65,0.06981740064446831
Beauty and the Beast 2017,1121,80,0.07136485280999108
Rocketman 2019,904,65,0.07190265486725664
The Book Thief 2013,286,50,0.17482517482517482
The Cabin in the Woods 2011,1190,80,0.06722689075630252
G.I. Jane 1997,150,35,0.23333333333333334
Erin Brockovich 2000,520,65,0.125
Ice Age: The Meltdown 2006,267,50,0.18726591760299627
Saving Private Ryan 1998,2531,80,0.03160806005531411
Collateral 2004,889,65,0.07311586051743532
Oblivion 2013,1006,80,0.07952286282306163
Wreck-It Ralph 2012,442,50,0.11312217194570136
Where Eagles Dare 1968,264,50,0.1893939393939394
The Last Samurai 2003,1025,80,0.07804878048780488
"I Love You, Man 2009",234,50,0.21367521367521367
Conquest 1453 2012,154,35,0.22727272727272727
Come and See 1985,492,50,0.1016260162601626
50 First Dates 2004,505,65,0.12871287128712872
Underworld 2003,831,65,0.07821901323706378
United 93 2006,862,65,0.07540603248259861
What We Do in the Shadows 2014,332,50,0.15060240963855423
The Hustler 1961,202,50,0.24752475247524752
As Good as It Gets 1997,536,65,0.12126865671641791
Blade II 2002,573,65,0.11343804537521815
Love & Mercy 2014,157,35,0.2229299363057325
Antz 1998,303,50,0.16501650165016502
The Croods 2013,234,50,0.21367521367521367
Platoon 1986,584,65,0.1113013698630137
The Others 2001,1134,80,0.07054673721340388
Ice Age: Continental Drift 2012,152,35,0.23026315789473684
Sherlock Holmes: A Game of Shadows 2011,446,50,0.11210762331838565
Days of Thunder 1990,127,35,0.2755905511811024
Green Book 2018,1409,80,0.05677785663591199
Dreamgirls 2006,528,65,0.12310606060606061
Rush 2013,554,65,0.11732851985559567
The Untouchables 1987,491,50,0.10183299389002037
The Wrestler 2008,586,65,0.11092150170648464
Three Colors: Blue 1993,190,35,0.18421052631578946
Back to the Future Part III 1990,330,50,0.15151515151515152
Thirteen Days 2000,335,50,0.14925373134328357
Dog Day Afternoon 1975,319,50,0.15673981191222572
The Intouchables 2011,598,65,0.10869565217391304
The Sound of Music 1965,473,50,0.10570824524312897
She's the Man 2006,292,50,0.17123287671232876
Parasite 2019,2392,80,0.033444816053511704
Incendies 2010,238,50,0.21008403361344538
One Flew Over the Cuckoo's Nest 1975,943,65,0.0689289501590668
Rio 2011,212,50,0.2358490566037736
Footloose 1984,141,35,0.24822695035460993
American Pie 1999,797,65,0.08155583437892096
Limitless 2011,485,50,0.10309278350515463
Pirates of the Caribbean: Dead Man's Chest 2006,1888,80,0.0423728813559322
Despicable Me 2010,352,50,0.14204545454545456
Pride & Prejudice 2005,1158,80,0.0690846286701209
The Birds 1963,537,65,0.12104283054003724
Star Wars: Episode IX - The Rise of Skywalker 2019,7460,80,0.010723860589812333
Friday Night Lights 2004,321,50,0.1557632398753894
Trouble with the Curve 2012,191,35,0.18324607329842932
Major League 1989,116,35,0.3017241379310345
The Great Dictator 1940,254,50,0.1968503937007874
Mississippi Burning 1988,204,50,0.24509803921568626
The Wizard of Oz 1939,669,65,0.09715994020926756
American Sniper 2014,1036,80,0.07722007722007722
Mulholland Drive 2001,1906,80,0.04197271773347324
Coco 2017,1063,80,0.07525870178739416
The Pursuit of Happyness 2006,749,65,0.08678237650200267
Hereditary 2018,3086,80,0.02592352559948153
Forgetting Sarah Marshall 2008,367,50,0.1362397820163488
Seven Years in Tibet 1997,146,35,0.23972602739726026
The Iron Giant 1999,567,65,0.1146384479717813
American History X 1998,1556,80,0.05141388174807198
2012 2009,1174,80,0.06814310051107325
Wayne's World 1992,196,35,0.17857142857142858
American Beauty 1999,2854,80,0.02803083391730904
Face_Off 1997,606,65,0.10726072607260725
Salt 2010,580,65,0.11206896551724138
Disturbia 2007,527,65,0.12333965844402277
My Neighbor Totoro 1988,440,50,0.11363636363636363
Vicky Cristina Barcelona 2008,397,50,0.12594458438287154
There Will Be Blood 2007,1316,80,0.060790273556231005
Captain America: The First Avenger 2011,882,65,0.07369614512471655
Brokeback Mountain 2005,2337,80,0.03423192126658109
High Fidelity 2000,617,65,0.1053484602917342
Groundhog Day 1993,758,65,0.08575197889182058
He Got Game 1998,122,35,0.28688524590163933
The Little Mermaid 1989,278,50,0.17985611510791366
Akira 1988,510,65,0.12745098039215685
The Dark Knight Rises 2012,2953,80,0.027091093802912292
The Bourne Identity 2002,910,65,0.07142857142857142
Nightcrawler 2014,757,65,0.08586525759577279
Aquaman 2018,3845,80,0.02080624187256177
Cinderella 1950,152,35,0.23026315789473684
E.T. the Extra-Terrestrial 1982,584,65,0.1113013698630137
The Lobster 2015,646,65,0.10061919504643962
Underworld Awakening 2012,297,50,0.16835016835016836
Dark City 1998,674,65,0.09643916913946587
Home Alone 2: Lost in New York 1992,258,50,0.1937984496124031
Midsommar 2019,2580,80,0.031007751937984496
Step Up 2006,285,50,0.17543859649122806
Speed 1994,437,50,0.11441647597254005
Whiplash 2014,1166,80,0.0686106346483705
Tinker Tailor Soldier Spy 2011,604,65,0.1076158940397351
Forrest Gump 1994,2274,80,0.03518029903254178
The Greatest Game Ever Played 2005,119,35,0.29411764705882354
Insomnia 2002,682,65,0.09530791788856305
The Girl with the Dragon Tattoo 2009,316,50,0.15822784810126583
Mama 2013,365,50,0.136986301369863
Kelly's Heroes 1970,208,50,0.2403846153846154
Crash 2004,1692,80,0.04728132387706856
Die Hard with a Vengeance 1995,377,50,0.13262599469496023
There's Something About Mary 1998,642,65,0.10124610591900311
28 Weeks Later 2007,789,65,0.08238276299112801
Kong: Skull Island 2017,945,65,0.06878306878306878
Amadeus 1984,622,65,0.1045016077170418
Grease 1978,415,50,0.12048192771084337
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 1964,928,65,0.07004310344827586
Duck Soup 1933,275,50,0.18181818181818182
Back to the Future Part II 1989,398,50,0.12562814070351758
Annihilation 2018,1908,80,0.041928721174004195
Empire of the Sun 1987,335,50,0.14925373134328357
No Man's Land 2001,179,35,0.19553072625698323
The Irishman 2019,2675,80,0.029906542056074768
Match Point 2005,784,65,0.08290816326530612
Rosemary's Baby 1968,547,65,0.11882998171846434
The Devil Wears Prada 2006,705,65,0.09219858156028368
The Ringer 2005,163,35,0.2147239263803681
Alexander 2004,1429,80,0.05598320503848846
Horrible Bosses 2011,439,50,0.11389521640091116
I Am Legend 2007,1542,80,0.05188067444876784
Miracle 2004,315,50,0.15873015873015872
Die Hard 1988,889,65,0.07311586051743532
Die Hard 2 1990,357,50,0.1400560224089636
Kingsman: The Secret Service 2014,935,65,0.06951871657754011
The Rocker 2008,112,35,0.3125
Superbad 2007,654,65,0.09938837920489296
The Expendables 2010,768,65,0.08463541666666667
Zero Dark Thirty 2012,709,65,0.09167842031029619
Before Sunrise 1995,475,50,0.10526315789473684
Elf 2003,500,50,0.1
Les Misérables 2012,968,65,0.06714876033057851
Star Wars: Episode VII - The Force Awakens 2015,4764,80,0.016792611251049538
Mulan 1998,311,50,0.1607717041800643
The Machinist 2004,537,65,0.12104283054003724
Glory 1989,438,50,0.1141552511415525
Fast & Furious 6 2013,492,50,0.1016260162601626
Hustle & Flow 2005,212,50,0.2358490566037736
Whip It 2009,129,35,0.2713178294573643
Quantum of Solace 2008,1316,80,0.060790273556231005
Knowing 2009,885,65,0.07344632768361582
Space Jam 1996,182,35,0.19230769230769232
Avengers: Age of Ultron 2015,1303,80,0.06139677666922486
RED 2010,362,50,0.13812154696132597
Chicken Run 2000,384,50,0.13020833333333334
Deadpool 2016,1439,80,0.05559416261292564
Deadpool 2 2018,1310,80,0.061068702290076333
Tigerland 2000,155,35,0.22580645161290322
50_50 2011,428,50,0.11682242990654206
The Favourite 2018,1195,80,0.06694560669456066
Iron Man 2008,1305,80,0.06130268199233716
3 Idiots 2009,600,65,0.10833333333333334
Black Panther 2018,3190,80,0.025078369905956112
"South Park: Bigger, Longer & Uncut 1999",939,65,0.06922257720979766
Mission: Impossible II 2000,1472,80,0.05434782608695652
The Beach 2000,577,65,0.11265164644714037
No Strings Attached 2011,214,50,0.2336448598130841
Ex Machina 2014,884,65,0.07352941176470588
Dodgeball 2004,406,50,0.12315270935960591
Batman Begins 2005,2855,80,0.028021015761821366
The Illusionist 2006,687,65,0.09461426491994178
The Game 1997,629,65,0.10333863275039745
The Departed 2006,2289,80,0.03494975972040192
The Wedding Singer 1998,357,50,0.1400560224089636
Thor 2011,915,65,0.07103825136612021
Lord of War 2005,481,50,0.10395010395010396
Clash of the Titans 2010,679,65,0.09572901325478646
The Thin Red Line 1998,1483,80,0.05394470667565745
Save the Last Dance 2001,323,50,0.15479876160990713
Ed Wood 1994,457,50,0.10940919037199125
Drive 2011,1521,80,0.05259697567389875
The Lives of Others 2006,499,50,0.10020040080160321
Mission: Impossible 1996,443,50,0.11286681715575621
Some Like It Hot 1959,407,50,0.12285012285012285
Harry Potter and the Deathly Hallows: Part 2 2011,940,65,0.06914893617021277
The Da Vinci Code 2006,2019,80,0.0396235760277365
Avengers: Infinity War 2018,4213,80,0.018988844054118204
The Bridge on the River Kwai 1957,317,50,0.15772870662460567
Coffee and Cigarettes 2003,178,35,0.19662921348314608
"Good Morning, Vietnam 1987",153,35,0.22875816993464052
A Star Is Born 2018,2643,80,0.03026863412788498
Pulp Fiction 1994,2917,80,0.027425437092903668
The Replacements 2000,265,50,0.18867924528301888
Gravity 2013,2090,80,0.03827751196172249
Beetlejuice 1988,368,50,0.1358695652173913
Driven 2001,339,50,0.14749262536873156
Taken 2008,1056,80,0.07575757575757576
Bruce Almighty 2003,638,65,0.10188087774294671
The Avengers 2012,1915,80,0.04177545691906005
Burlesque 2010,252,50,0.1984126984126984
Jaws 1975,1194,80,0.06700167504187604
The Big Short 2015,535,65,0.12149532710280374
Magic Mike XXL 2015,143,35,0.24475524475524477
Lilo & Stitch 2002,393,50,0.1272264631043257
The Big Lebowski 1998,1201,80,0.06661115736885928
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan 2006,1246,80,0.06420545746388442
Iron Man 3 2013,1314,80,0.060882800608828
The Wind that Shakes the Barley 2006,235,50,0.2127659574468085
Easy A 2010,339,50,0.14749262536873156
Step Up 2: The Streets 2008,114,35,0.30701754385964913
The Fountain 2006,985,65,0.06598984771573604
Fifty Shades of Grey 2015,1543,80,0.05184705119896306
Silent Hill 2006,1796,80,0.044543429844097995
Heat 1995,1046,80,0.07648183556405354
Super 8 2011,924,65,0.07034632034632035
The Hurt Locker 2008,961,65,0.06763787721123829
Hostel 2005,1566,80,0.05108556832694764
Schindler's List 1993,1762,80,0.04540295119182747
Eyes Wide Shut 1999,1605,80,0.04984423676012461
X-Men: First Class 2011,766,65,0.08485639686684072
Midnight in Paris 2011,602,65,0.1079734219269103
12 Strong 2018,371,50,0.1347708894878706
