username,rating,helpful,total,date,title,review
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","This movie is not about family like the first one ! Having a strong female lead is great ,"
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","but emphasizing their superiority over men , over and over , joke after joke , just made this movie unbearable ."
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
",That is not equality ! The first Incredibles movie brought the entire family together as a whole
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","and was solid , one of my all time favorites ."
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
",Even though the Incredibles 2 started off good
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","and it was funny ( at first ) with how Mr Incredible had a hard time with the kids , it never ended ."
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","As the movie goes on and on you soon realize what""s happening because it""s not subtle ."
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","The boys can""t play because their masculinity is too destructive , so Elastigirl has to go solo to restore their image ,"
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","but she""s really just being tricked by an even smarter female who has an idiot for a brother ( he just happens to be the President of a huge telcom company ) ."
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","Violet""s character is developed as she matures"
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
",and is beginning to understand the world as well as her powers .
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","But , Mr Incredible and Dash are just kinda punching bags to make fun of"
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
",and serve no other purpose .
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","Other than us seeing all the powers Jack Jack has , he really doesn""t do anything either other than cause problems ."
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","Sure near the end the whole family sort of gets involved ,"
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","but they""re mostly just taking turns running after Jack Jack ."
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","The movie really should have been called "" Elastigirl and Friends "" ."
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","To sum it up , the story was boring and predictable ."
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
",They had a certain direction to follow with the feminist agenda and the writers probably did the best they could .
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","But if you think I""m crazy , even the film""s producer Nicole Paradis Grindle confirmed that its feminist premise was years in the making ."
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","This movie taught my daughters that family only gets in the way , masculinity is dangerous , men are stupid , and women are victims ."
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","It""s worth noting that my first review was declined by the IMDb staff using a general "" does not meet guidelines "" reason , which simply means that person doesn""t agree with me"
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
",and chose to censor my review .
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
","This is my opinion and view of the movie ,"
admin-16582,2,398,734,23 July 2018," Forced feminism ruined this movie.
",and your bias should not be used to censor your opposition to further promote your agenda .
jonathanc-20759,8,456,848,16 June 2018," Intense seizure warning!!!!!!!!!!!!
","This movie is fantastic , loved the story and the characters ."
jonathanc-20759,8,456,848,16 June 2018," Intense seizure warning!!!!!!!!!!!!
",Where this movie loses points is in three separate continuous sequences of intense flashing .
jonathanc-20759,8,456,848,16 June 2018," Intense seizure warning!!!!!!!!!!!!
","My sister is epileptic , and with no warnings we weren""t prepared for any of it ."
jonathanc-20759,8,456,848,16 June 2018," Intense seizure warning!!!!!!!!!!!!
","She ended up seizing after the first sequence ,"
jonathanc-20759,8,456,848,16 June 2018," Intense seizure warning!!!!!!!!!!!!
",and we had to cover her eyes for the their two .
jonathanc-20759,8,456,848,16 June 2018," Intense seizure warning!!!!!!!!!!!!
","If you or any family members are sensitive to this sort of thing , AVOID THIS MOVIE ."
bornhard,8,28,43,23 June 2018," Predictable and old goods but in Fun New package, family entertainment.
",If you have seen lot of movies
bornhard,8,28,43,23 June 2018," Predictable and old goods but in Fun New package, family entertainment.
",and read tons of comic books like myself it would seem predictable plus movie does have certain base plot elements similar to original .
bornhard,8,28,43,23 June 2018," Predictable and old goods but in Fun New package, family entertainment.
","But don""t run away yet because that is not fun part about the movie or what movie makers were focusing on , it was the family dynamics , role reversals and yes the much anticipated Jack Jack the Big bang in the small pack and all his wonderful powers which wreck havoc and yes make him most powerful member of the team ."
bornhard,8,28,43,23 June 2018," Predictable and old goods but in Fun New package, family entertainment.
","I can""t say anything else without dropping spoilers but its a movie about a family that can be enjoyed by all families young and old together ."
domdom-63818,1,199,361,28 October 2018," Kinda funny how the villain is a microcosm of the movie itself...
","It""s just full of propaganda , I enjoyed it overall"
domdom-63818,1,199,361,28 October 2018," Kinda funny how the villain is a microcosm of the movie itself...
",but almost every 10 minutes there was something new trying to brainwash me which I appreciated very little .
domdom-63818,1,199,361,28 October 2018," Kinda funny how the villain is a microcosm of the movie itself...
","The ambassador or whatever it was is a woman , that""s fine ."
domdom-63818,1,199,361,28 October 2018," Kinda funny how the villain is a microcosm of the movie itself...
","They added what seems to be some sexually ambiguous folk in there as well , which is also fine ."
domdom-63818,1,199,361,28 October 2018," Kinda funny how the villain is a microcosm of the movie itself...
","They said Elastigirl is a better superhero than Mr. Incredible , they showed how great of a mother and super hero she is ."
domdom-63818,1,199,361,28 October 2018," Kinda funny how the villain is a microcosm of the movie itself...
","Then they showed how crap Mr. Incredible is at looking after the house and everything in life to be honest , a complete disaster in fact ."
domdom-63818,1,199,361,28 October 2018," Kinda funny how the villain is a microcosm of the movie itself...
","At the start they had to make sure Violets boyfriend tells us how he likes powerful women "" cause he""s so secure in his masculinity or whatever ."
domdom-63818,1,199,361,28 October 2018," Kinda funny how the villain is a microcosm of the movie itself...
","Two siblings run a major company , the brains behind the operation of couse , a woman ."
