映画名,レビュー数
Ted 2012,658
Finding Neverland 2004,657
Once Upon a Time in America 1984,655
Superbad 2007,654
Edward Scissorhands 1990,654
From Dusk Till Dawn 1996,653
Hancock 2008,653
Pirates of the Caribbean: Dead Men Tell No Tales 2017,652
Army of Darkness 1992,651
Atonement 2007,650
Hellboy 2004,649
Room 2015,649
The Secret Life of Walter Mitty 2013,649
The Lobster 2015,646
Saw III 2006,646
The Godfather: Part III 1990,646
The Lost World: Jurassic Park 1997,643
Men in Black II 2002,642
There's Something About Mary 1998,642
Public Enemies 2009,639
Don't Breathe 2016,639
Bruce Almighty 2003,638
Source Code 2011,635
1408 2007,635
12 Monkeys 1995,633
About Time 2013,630
Darkest Hour 2017,629
Tropic Thunder 2008,629
The Game 1997,629
Train to Busan 2016,628
In Bruges 2008,627
Downfall 2004,627
Ender's Game 2013,626
3:10 to Yuma 2007,624
Dead Poets Society 1989,624
Captain Phillips 2013,623
Burn After Reading 2008,622
Amadeus 1984,622
Blade 1998,620
U-571 2000,618
Anchorman: The Legend of Ron Burgundy 2004,617
Trainspotting 1996,617
High Fidelity 2000,617
The Equalizer 2014,613
How to Train Your Dragon 2010,613
The Maze Runner 2014,612
Moon 2009,612
The Hunger Games: Mockingjay - Part 1 2014,611
10 Things I Hate About You 1999,611
8 Mile 2002,610
Wind River 2017,609
The Perks of Being a Wallflower 2012,606
Face_Off 1997,606
The Wolverine 2013,606
Casino 1995,605
Tinker Tailor Soldier Spy 2011,604
Pi 1998,603
Midnight in Paris 2011,602
500 Days of Summer 2009,601
3 Idiots 2009,600
The Intouchables 2011,598
Stranger Than Fiction 2006,595
Cinderella Man 2005,593
Spotlight 2015,591
North by Northwest 1959,591
Your Name. 2016,590
Da 5 Bloods 2020,589
Toy Story 2 1999,588
The 40-Year-Old Virgin 2005,587
The Wrestler 2008,586
Happy Feet 2006,585
E.T. the Extra-Terrestrial 1982,584
Bridget Jones's Diary 2001,584
Platoon 1986,584
Evil Dead II 1987,584
Knocked Up 2007,583
Toy Story 1995,582
Salt 2010,580
World Trade Center 2006,580
30 Days of Night 2007,579
The Beach 2000,577
Mission: Impossible - Ghost Protocol 2011,576
The 13th Warrior 1999,575
"Lock, Stock and Two Smoking Barrels 1998",575
Blade II 2002,573
Romeo + Juliet 1996,573
Flight 2012,573
The Woman in Black 2012,568
Monster 2003,567
The Iron Giant 1999,567
Bridesmaids 2011,563
Gone Baby Gone 2007,562
Raging Bull 1980,562
Man on the Moon 1999,560
The Holiday 2006,560
To Kill a Mockingbird 1962,560
The Bourne Legacy 2012,559
Stardust 2007,555
Rush 2013,554
The Lego Movie 2014,554
Scary Movie 2 2001,552
From Hell 2001,552
Across the Universe 2007,549
Indiana Jones and the Last Crusade 1989,549
Lucky Number Slevin 2006,548
The Conjuring 2 2016,548
Law Abiding Citizen 2009,548
Big Hero 6 2014,547
Rosemary's Baby 1968,547
Ghostbusters 1984,545
Sausage Party 2016,543
"Good Night, and Good Luck. 2005",542
Carrie 1976,541
Shrek 2 2004,540
The Girl Next Door 2004,539
Mission: Impossible - Rogue Nation 2015,537
The Machinist 2004,537
The Insider 1999,537
The Birds 1963,537
As Good as It Gets 1997,536
Lion 2016,536
Before Sunset 2004,536
Pirates of the Caribbean: On Stranger Tides 2011,535
The Big Short 2015,535
Beowulf 2007,535
Grindhouse 2007,533
In Time 2011,533
True Romance 1993,533
Annie Hall 1977,530
The Twilight Saga: Eclipse 2010,529
Dreamgirls 2006,528
Dark Shadows 2012,528
Jackie Brown 1997,528
Disturbia 2007,527
Jack Reacher 2012,527
Up in the Air 2009,522
Corpse Bride 2005,521
Erin Brockovich 2000,520
Moana 2016,520
The Polar Express 2004,520
Chinatown 1974,519
The Italian Job 2003,519
School of Rock 2003,517
Scream 2 1997,516
Brave 2012,515
Creed 2015,514
Akira 1988,510
The Nightmare Before Christmas 1993,509
The Good Shepherd 2006,509
The Expendables 2 2012,508
Meet the Parents 2000,508
The English Patient 1996,506
50 First Dates 2004,505
Taken 2 2012,505
Tombstone 1993,501
Elf 2003,500
The Theory of Everything 2014,500
The Blind Side 2009,500
The Lives of Others 2006,499
The Town 2010,498
The Adventures of Tintin 2011,496
Final Destination 2 2003,495
American Gangster 2007,495
Angels & Demons 2009,494
Come and See 1985,492
Fast & Furious 6 2013,492
Lone Survivor 2013,491
The Untouchables 1987,491
Ice Age 2002,490
Orphan 2009,489
Tangled 2010,489
Nacho Libre 2006,487
Hidden Figures 2016,487
Revolutionary Road 2008,485
Limitless 2011,485
127 Hours 2010,481
Lord of War 2005,481
JFK 1991,479
Prince of Persia: The Sands of Time 2010,478
The Twilight Saga: Breaking Dawn - Part 1 2011,477
Sully 2016,477
Talladega Nights: The Ballad of Ricky Bobby 2006,476
The Boy in the Striped Pajamas 2008,475
Before Sunrise 1995,475
The Sound of Music 1965,473
The Adjustment Bureau 2011,473
"I, Tonya 2017",472
The Transporter 2002,471
The Devil's Advocate 1997,468
Fantastic 4: Rise of the Silver Surfer 2007,468
Valkyrie 2008,468
Seabiscuit 2003,467
Dumb and Dumber 1994,467
The Assassination of Jesse James by the Coward Robert Ford 2007,466
Bridge of Spies 2015,465
The Rock 1996,464
Any Given Sunday 1999,461
Billy Elliot 2000,460
Dirty Dancing 1987,460
Windtalkers 2002,459
Deja Vu 2006,458
Ed Wood 1994,457
The Queen 2006,456
Me Before You 2016,456
Ray 2004,455
Total Recall 1990,453
Blow 2001,452
Interview with the Vampire: The Vampire Chronicles 1994,451
The Nice Guys 2016,450
Non-Stop 2014,449
Capote 2005,448
Sherlock Holmes: A Game of Shadows 2011,446
Remember the Titans 2000,446
"Hail, Caesar! 2016",445
Barry Lyndon 1975,444
The Monuments Men 2014,443
Mission: Impossible 1996,443
Wreck-It Ralph 2012,442
The Fighter 2010,442
My Neighbor Totoro 1988,440
Horrible Bosses 2011,439
Meet the Fockers 2004,439
Glory 1989,438
Moonrise Kingdom 2012,438
Speed 1994,437
Ben-Hur 1959,436
Changeling 2008,431
Silence 2016,431
The Reader 2008,431
Resident Evil: Afterlife 2010,430
50_50 2011,428
Finding Dory 2016,427
Elizabeth 1998,426
"Salò, or the 120 Days of Sodom 1975",426
Kung Fu Panda 2008,425
Unbroken 2014,425
Pineapple Express 2008,425
Fast Five 2011,424
Howl's Moving Castle 2004,423
The Impossible 2012,423
Beauty and the Beast 1991,421
Madagascar 2005,420
The Hangover Part II 2011,420
Butch Cassidy and the Sundance Kid 1969,419
Enchanted 2007,419
Home Alone 1990,417
Paths of Glory 1957,417
Grease 1978,415
The Number 23 2007,413
"Girl, Interrupted 1999",413
Hitch 2005,410
Steve Jobs 2015,409
Some Like It Hot 1959,407
Dodgeball 2004,406
The Elephant Man 1980,405
21 Jump Street 2012,401
Moneyball 2011,400
Green Street Hooligans 2005,400
Rango 2011,400
Legends of the Fall 1994,399
How to Train Your Dragon 2 2014,398
