movie_title,title,review,rating,helpful,total,date
Shrek," One of a kind
","Endlessly quotable and endlessly awesome, Shrek is the best anti fairy tell ever. The characters are well cast, the storyline well developed, it's just a damn good time.",9,0,0,4 July 2020
Black Panther," Some badarses in Wakanda
","Everything you could ask for in a superhero movie. Great action, great acting, and some good ole arse kicking. A superhero for the modern age, black panther gives us all the vibes. The ladies keep it real, redefining what it means to be a supporting role, and taking up arms in killer action scenes. I also quite enjoy a bad guy who is relatable and toes that line. Michael B. Jordan really shines as kilmonger, he makes the movie.",7,1,5,1 October 2019
Blade Runner," Pretty good
","I thought this was a pretty good 80s movie. It didn't blow me out of the water, and I don't necessarily feel the need to watch again, but it was enjoyable for a first time viewing. The acting was good and storyline flowed well and was fairly easy to follow. The characters had depth, and only said a few cheesy one liners. Overall a good movie.",7,1,3,12 February 2020
Space Jam," Mindless fun
",A fun looney toons / basketball crossover. Go in with no expectations cause there's not really much there.,6,0,2,12 March 2020
Elizabeth: The Golden Age," Much better than the first
","I enjoyed this movie more than it's predecessor, the characters had more depth and the storyline was less confusing. The costume and set design are magnificent, the queens outfits are perfectly outlandish. The acting itself was quite good, Blanchett playing the older and more wisen queen, but Clive Owen kind of stole the show. Overall a decent movie chronicling the latter years of Elizabeth's reign.",7,0,0,4 March 2020
A Night at the Roxbury," Hilarious
","Funny in it's absolute ridiculousness! If you go in with your lowest expectations, you can have a good time. There's no plot, no point, and less than Oscar worthy acting. But the jokes are endless, will ferrel and Chris kattan have great on screen chemistry, and it has an epic theme song. It's a classic comedy born from an SNL skit. 'I broke the window again'",7,1,1,17 December 2019
The Matrix," Awesome sci-fi flick!
","A great send off of the 90s, the matrix is a one of a kind sci-fi action movie. The cgi and stunts are amazing, the choreography of the fight scenes are crazy good. The acting is great from both the good guys and the bad guys, Keanu is amazing. The outfits are badass and really send this over the edge, who doesn't want to look like Carrie Ann moss?!",9,0,0,22 April 2020
John Wick: Chapter 2," Amazing action
","Keanu Reeves slays as John Wick in this sequel. The action scenes are awesome, his character and acting are awesome, and the storyline flows well from the original. A mindless action thriller, with great cinematography, the final fight scene in the museum is almost poetic.",8,0,0,3 May 2020
Gangs of New York," Too long, slow storyline
","I get why this has a high rating, it's an epic and lots of people go for that sort of movie. I however did not enjoy the movie that much. It was way too long, and the storyline dragged along. The acting is unquestionably good, and the costumes and cinematography are well done. But the directing style of focusing on small conversations and moments, for me is just boring. The action scenes are pretty epic but they don't come often enough. And the whole middle of the movie just takes too much time to go through. Its a historical piece, and while it's successful, there's no flow. This movie is just not my style.",4,1,13,24 September 2019
Back to the Future," A timeless classic
","I've seen this movie more times than I'd care to admit and I love it every time. The characters are well cast and well acted, they have great chemistry within the main characters. The storyline is unique and well developed, there are so many details it takes a few watches to pick up on. One of my all time favorites ... you made a time machine, out of a Delorean?",8,1,1,6 May 2020
